"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Income of households in 2020,"  $50,000 to $59,999",,35045,,,...,,...,6.4,,,...,,...
Income of households in 2020,"  $60,000 to $69,999",,35965,,,...,,...,6.6,,,...,,...
Income of households in 2020,"  $70,000 to $79,999",,35280,,,...,,...,6.4,,,...,,...
Income of households in 2020,"  $80,000 to $89,999",,33625,,,...,,...,6.1,,,...,,...
Income of households in 2020,"  $90,000 to $99,999",,31740,,,...,,...,5.8,,,...,,...
Income of households in 2020,"  $100,000 and over",,262405,,,...,,...,47.8,,,...,,...
Income of households in 2020,"    $100,000 to $124,999",,70345,,,...,,...,12.8,,,...,,...
Income of households in 2020,"    $125,000 to $149,999",,54100,,,...,,...,9.9,,,...,,...
Income of households in 2020,"    $150,000 to $199,999",,70215,,,...,,...,12.8,,,...,,...
Income of households in 2020,"    $200,000 and over",,67755,,,...,,...,12.4,,,...,,...
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,548620,,,...,,...,100,,,...,,...
Income of households in 2020,"  Under $5,000",,6095,,,...,,...,1.1,,,...,,...
Income of households in 2020,"  $5,000 to $9,999",,2845,,,...,,...,0.5,,,...,,...
Income of households in 2020,"  $10,000 to $14,999",,4275,,,...,,...,0.8,,,...,,...
Income of households in 2020,"  $15,000 to $19,999",,6150,,,...,,...,1.1,,,...,,...
Income of households in 2020,"  $20,000 to $24,999",,17140,,,...,,...,3.1,,,...,,...
Income of households in 2020,"  $25,000 to $29,999",,19395,,,...,,...,3.5,,,...,,...
Income of households in 2020,"  $30,000 to $34,999",,16000,,,...,,...,2.9,,,...,,...
Income of households in 2020,"  $35,000 to $39,999",,18530,,,...,,...,3.4,,,...,,...
Income of households in 2020,"  $40,000 to $44,999",,20290,,,...,,...,3.7,,,...,,...
Income of households in 2020,"  $45,000 to $49,999",,20640,,,...,,...,3.8,,,...,,...
Income of households in 2020,"  $50,000 to $59,999",,42705,,,...,,...,7.8,,,...,,...
Income of households in 2020,"  $60,000 to $69,999",,43320,,,...,,...,7.9,,,...,,...
Income of households in 2020,"  $70,000 to $79,999",,41625,,,...,,...,7.6,,,...,,...
Income of households in 2020,"  $80,000 to $89,999",,39735,,,...,,...,7.2,,,...,,...
Income of households in 2020,"  $90,000 to $99,999",,36345,,,...,,...,6.6,,,...,,...
Income of households in 2020,"  $100,000 and over",,213535,,,...,,...,38.9,,,...,,...
Income of households in 2020,"    $100,000 to $124,999",,73590,,,...,,...,13.4,,,...,,...
Income of households in 2020,"    $125,000 to $149,999",,51825,,,...,,...,9.4,,,...,,...
Income of households in 2020,"    $150,000 and over",,88120,,,...,,...,16.1,,,...,,...
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,380775,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,117000,,,...,,...,117000,,,...,,...
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,101000,,,...,,...,101000,,,...,,...
Income of economic families in 2020,  Average family size of economic families,,3.1,,,...,,...,3.1,,,...,,...
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,132695,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,107000,,,...,,...,107000,,,...,,...
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,92000,,,...,,...,92000,,,...,,...
Income of economic families in 2020,  Average family size of couple-only economic families,,2,,,...,,...,2,,,...,,...
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,176140,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,142000,,,...,,...,142000,,,...,,...
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,121000,,,...,,...,121000,,,...,,...
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.1,,,...,,...,4.1,,,...,,...
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,57840,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,73500,,,...,,...,73500,,,...,,...
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,67500,,,...,,...,67500,,,...,,...
Income of economic families in 2020,  Average family size of one-parent economic families,,2.8,,,...,,...,2.8,,,...,,...
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,212765,,110055,,102710,,,...,,...,,...
Income of economic families in 2020,  Median total income in 2020 ($),30,44400,,46800,,42000,,44400,,46800,,42000,
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,39600,,41200,,38000,,39600,,41200,,38000,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,380650,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,137800,,,...,,...,137800,,,...,,...
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,114300,,,...,,...,114300,,,...,,...
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,132705,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,130000,,,...,,...,130000,,,...,,...
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,106500,,,...,,...,106500,,,...,,...
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,176315,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,162200,,,...,,...,162200,,,...,,...
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,134000,,,...,,...,134000,,,...,,...
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,57825,,,...,,...,,...,,...,,...
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,85300,,,...,,...,85300,,,...,,...
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,75300,,,...,,...,75300,,,...,,...
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,212695,,109920,,102775,,,...,,...,,...
Income of economic families in 2020,  Average total income in 2020 ($),30,54800,,58200,,51160,,54800,,58200,,51160,
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,46280,,48440,,44000,,46280,,48440,,44000,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,1397750,,696315,,701435,,100,,100,,100,
Low income and income inequality in 2020,  0 to 17 years,,311365,,159760,,151605,,22.3,,22.9,,21.6,
Low income and income inequality in 2020,    0 to 5 years,,101650,,51980,,49670,,7.3,,7.5,,7.1,
Low income and income inequality in 2020,  18 to 64 years,,894770,,446665,,448110,,64,,64.1,,63.9,
Low income and income inequality in 2020,  65 years and over,,191615,,89895,,101720,,13.7,,12.9,,14.5,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,123095,,58505,,64595,,,...,,...,,...
Low income and income inequality in 2020,  0 to 17 years,,34805,,17675,,17135,,,...,,...,,...
Low income and income inequality in 2020,    0 to 5 years,,12390,,6260,,6125,,,...,,...,,...
Low income and income inequality in 2020,  18 to 64 years,,70110,,33755,,36355,,,...,,...,,...
Low income and income inequality in 2020,  65 years and over,,18185,,7075,,11110,,,...,,...,,...
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,8.8,,8.4,,9.2,,8.8,,8.4,,9.2,
Low income and income inequality in 2020,  0 to 17 years (%),,11.2,,11.1,,11.3,,11.2,,11.1,,11.3,
Low income and income inequality in 2020,    0 to 5 years (%),,12.2,,12.1,,12.3,,12.2,,12.1,,12.3,
Low income and income inequality in 2020,  18 to 64 years (%),,7.8,,7.6,,8.1,,7.8,,7.6,,8.1,
Low income and income inequality in 2020,  65 years and over (%),,9.5,,7.9,,10.9,,9.5,,7.9,,10.9,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,1393855,,694330,,699530,,100,,100,,100,
Low income and income inequality in 2020,  0 to 17 years,,309980,,159040,,150935,,22.2,,22.9,,21.6,
Low income and income inequality in 2020,    0 to 5 years,,101265,,51760,,49510,,7.3,,7.5,,7.1,
Low income and income inequality in 2020,  18 to 64 years,,892530,,445515,,447015,,64,,64.2,,63.9,
Low income and income inequality in 2020,  65 years and over,,191350,,89770,,101575,,13.7,,12.9,,14.5,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,70940,,36085,,34855,,,...,,...,,...
Low income and income inequality in 2020,  0 to 17 years,,16575,,8340,,8235,,,...,,...,,...
Low income and income inequality in 2020,    0 to 5 years,,5745,,2845,,2895,,,...,,...,,...
Low income and income inequality in 2020,  18 to 64 years,,49570,,25625,,23940,,,...,,...,,...
Low income and income inequality in 2020,  65 years and over,,4795,,2120,,2675,,,...,,...,,...
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,5.1,,5.2,,5,,5.1,,5.2,,5,
Low income and income inequality in 2020,  0 to 17 years (%),,5.4,,5.2,,5.5,,5.4,,5.2,,5.5,
Low income and income inequality in 2020,    0 to 5 years (%),,5.7,,5.5,,5.9,,5.7,,5.5,,5.9,
Low income and income inequality in 2020,  18 to 64 years (%),,5.6,,5.8,,5.4,,5.6,,5.8,,5.4,
Low income and income inequality in 2020,  65 years and over (%),,2.5,,2.4,,2.6,,2.5,,2.4,,2.6,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,1397750,,696315,,701435,,100,,100,,100,
Low income and income inequality in 2020,  In bottom half of the distribution,,620420,,301470,,318945,,44.4,,43.3,,45.5,
Low income and income inequality in 2020,    In bottom decile,,112025,,55630,,56395,,8,,8,,8,
Low income and income inequality in 2020,    In second decile,,124180,,57935,,66245,,8.9,,8.3,,9.4,
Low income and income inequality in 2020,    In third decile,,122565,,59410,,63160,,8.8,,8.5,,9,
Low income and income inequality in 2020,    In fourth decile,,127455,,62415,,65045,,9.1,,9,,9.3,
Low income and income inequality in 2020,    In fifth decile,,134190,,66085,,68105,,9.6,,9.5,,9.7,
Low income and income inequality in 2020,  In top half of the distribution,,777330,,394845,,382490,,55.6,,56.7,,54.5,
Low income and income inequality in 2020,    In sixth decile,,138625,,69295,,69335,,9.9,,10,,9.9,
Low income and income inequality in 2020,    In seventh decile,,146520,,73780,,72740,,10.5,,10.6,,10.4,
Low income and income inequality in 2020,    In eighth decile,,154410,,78030,,76375,,11,,11.2,,10.9,
Low income and income inequality in 2020,    In ninth decile,,165315,,84345,,80970,,11.8,,12.1,,11.5,
Low income and income inequality in 2020,    In top decile,,172455,,89390,,83060,,12.3,,12.8,,11.8,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,1397750,,,...,,...,1397750,,,...,,...
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.331,,,...,,...,0.331,,,...,,...
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.432,,,...,,...,0.432,,,...,,...
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.292,,,...,,...,0.292,,,...,,...
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.7,,,...,,...,3.7,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,1404625,,699420,,705210,,100,,100,,100,
Knowledge of official languages,  English only,,1284015,,645155,,638865,,91.4,,92.2,,90.6,
Knowledge of official languages,  French only,,1515,,625,,895,,0.1,,0.1,,0.1,
Knowledge of official languages,  English and French,,95290,,44100,,51185,,6.8,,6.3,,7.3,
Knowledge of official languages,  Neither English nor French,,23805,,9535,,14270,,1.7,,1.4,,2,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,1404625,,699420,,705210,,100,,100,,100,
First official language spoken,  English,,1349880,,674270,,675615,,96.1,,96.4,,95.8,
First official language spoken,  French,,25175,,12785,,12395,,1.8,,1.8,,1.8,
First official language spoken,  English and French,,6550,,3245,,3310,,0.5,,0.5,,0.5,
First official language spoken,  Neither English nor French,,23020,,9130,,13890,,1.6,,1.3,,2,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,1404625,,699420,,705210,,100,,100,,100,
